"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Bob Anderegg","1960","1960","F-G","6-3","200","August 24, 1937","Michigan State"
"Chris Andersen","2002","2017","C-F","6-10","245","July 7, 1978","Blinn College"
"David Andersen","2010","2011","C","6-11","245","June 23, 1980",""
"Alan Anderson","2006","2017","G-F","6-6","220","October 16, 1982","Michigan State"
"Andy Anderson","1968","1970","G","6-2","184","July 6, 1945","Canisius"
"Antonio Anderson","2010","2010","G","6-6","215","June 5, 1985","Memphis"
"Cliff Anderson","1968","1971","G-F","6-2","200","September 7, 1944","Saint Joseph's"
"Dan Anderson","1968","1969","C","6-10","230","February 15, 1943","Augsburg College"
"Dan Anderson","1975","1976","G","6-2","185","January 1, 1951","USC"
"Derek Anderson","1998","2008","G","6-5","194","July 18, 1974","Ohio State, Kentucky"
"Dwight Anderson","1983","1983","G","6-3","185","December 28, 1960","Kentucky, USC"
"Eric Anderson","1993","1994","F","6-9","220","May 26, 1970","Indiana"
"Greg Anderson","1988","1998","F-C","6-10","230","June 22, 1964","Houston"
"J.J. Anderson","1983","1985","F","6-8","195","September 23, 1960","Bradley"
"James Anderson","2011","2016","G-F","6-6","213","March 25, 1989","Oklahoma State"
"Jerome Anderson","1976","1977","G","6-5","195","October 9, 1953","West Virginia"
"Justin Anderson","2016","2022","G","6-6","230","November 19, 1993","Virginia"
"Kenny Anderson","1992","2005","G","6-0","168","October 9, 1970","Georgia Tech"
"Kim Anderson","1979","1979","F","6-7","200","May 12, 1955","Missouri"
"Kyle Anderson","2015","2023","F-G","6-9","230","September 20, 1993","UCLA"
"Michael Anderson","1989","1989","G","5-11","184","March 23, 1966","Drexel"
"Nick Anderson","1990","2002","F-G","6-6","205","January 20, 1968","Illinois"
"Richard Anderson","1983","1990","F-C","6-10","240","November 19, 1960","UC Santa Barbara"
"Ron Anderson","1985","1994","F-G","6-7","215","October 15, 1958","Fresno State"
"Ryan Anderson","2009","2020","F","6-9","240","May 6, 1988","California"
"Shandon Anderson","1997","2006","F-G","6-6","208","December 31, 1973","Georgia"
"Willie Anderson","1989","1997","G-F","6-7","190","January 8, 1967","Georgia"
"Wally Anderzunas","1970","1970","C-F","6-7","220","January 11, 1946","Creighton"
"Martynas Andriuškevičius","2006","2006","C","7-2","240","March 12, 1986",""
"Don Anielak","1955","1955","F","6-7","190","November 1, 1930","Missouri State"
"Ike Anigbogu","2018","2019","F-C","6-10","250","October 17, 1998","UCLA"
"Michael Ansley","1990","1992","F","6-7","225","February 8, 1967","Alabama"
"Chris Anstey","1998","2000","C","7-0","249","January 1, 1975",""
"Giannis Antetokounmpo","2014","2023","F-G","7-0","242","December 6, 1994",""
"Kostas Antetokounmpo","2019","2021","F","6-10","200","November 20, 1997","Dayton"
"Thanasis Antetokounmpo","2016","2023","F","6-6","219","July 18, 1992",""
"Carmelo Anthony","2004","2022","F","6-7","238","May 29, 1984","Syracuse"
"Cole Anthony","2021","2023","G","6-2","185","May 15, 2000","UNC"
"Greg Anthony","1992","2002","G","6-0","176","November 15, 1967","University of Portland, UNLV"
"Joel Anthony","2008","2017","C","6-9","245","August 9, 1982","UNLV"
"Pero Antić","2014","2015","C-F","6-11","260","July 29, 1982",""
"OG Anunoby","2018","2023","F","6-7","232","July 17, 1997","Indiana"
"Keith Appling","2016","2016","G","6-1","185","February 13, 1992","Michigan State"
"Rafael Araújo","2005","2007","C","6-11","280","August 12, 1980","BYU"
"Stacey Arceneaux","1962","1962","F","6-4","210","February 17, 1936","Iowa State"
"Robert Archibald","2003","2004","F","6-11","250","March 29, 1980","Illinois"
"Tiny Archibald*","1971","1984","G","6-1","150","September 2, 1948","Texas-El Paso"
"Ryan Arcidiacono","2018","2023","G","6-3","195","March 26, 1994","Villanova"
"Jim Ard","1971","1978","F-C","6-8","215","September 19, 1948","Cincinnati"
"Gilbert Arenas","2002","2012","G","6-4","191","January 6, 1982","Arizona"
"Trevor Ariza","2005","2022","F","6-8","215","June 30, 1985","UCLA"
"Paul Arizin*","1951","1962","F-G","6-4","190","April 9, 1928","Villanova"
"Joe Arlauckas","1988","1988","F","6-9","230","July 20, 1965","Niagara University"
"B.J. Armstrong","1990","2000","G","6-2","175","September 9, 1967","Iowa"
"Bob Armstrong","1957","1957","C-F","6-8","220","June 17, 1933","Michigan State"
"Brandon Armstrong","2002","2004","G","6-5","188","June 16, 1980","Pepperdine"
"Curly Armstrong","1949","1951","G-F","5-11","170","November 1, 1918","Indiana"
"Darrell Armstrong","1995","2008","G","6-0","170","June 22, 1968","Fayetteville State University"
"Hilton Armstrong","2007","2014","F-C","6-11","235","November 11, 1984","UConn"
"Tate Armstrong","1978","1979","G","6-3","175","October 5, 1955","Duke"
"Jesse Arnelle","1956","1956","F","6-5","220","December 30, 1933","Penn State"
"Jay Arnette","1964","1966","G","6-2","175","December 19, 1938","Texas"
"Bob Arnzen","1970","1974","F","6-5","205","November 3, 1947","Notre Dame"
"Carlos Arroyo","2002","2011","G","6-2","202","July 30, 1979","Florida International University"
"Darrell Arthur","2009","2018","F","6-9","235","March 25, 1988","Kansas"
"John Arthurs","1970","1970","G","6-4","185","August 15, 1947","Tulane"
"Jamel Artis","2018","2018","G-F","6-7","213","January 12, 1993","Pitt"
"Ömer Aşık","2011","2018","C","7-0","255","July 4, 1986",""
"Vincent Askew","1988","1998","G-F","6-6","210","February 28, 1966","Memphis"
"Keith Askins","1991","1999","G-F","6-7","197","December 15, 1967","Alabama"
"Don Asmonga","1954","1954","G","6-2","185","February 15, 1928","Alliance College"
"Dick Atha","1956","1958","G","6-2","190","September 21, 1931","Indiana State University"
"Chucky Atkins","2000","2010","G","5-11","160","August 14, 1974","South Florida"
"Al Attles*","1961","1971","G","6-0","175","November 7, 1936","North Carolina A&T"
"Chet Aubuchon","1947","1947","G","5-10","137","May 18, 1916","Michigan State"
"Stacey Augmon","1992","2006","F-G","6-8","205","August 1, 1968","UNLV"
"D.J. Augustin","2009","2022","G","5-11","183","November 10, 1987","Texas"
"James Augustine","2007","2008","F","6-10","235","February 27, 1984","Illinois"
"Isaac Austin","1992","2002","C","6-10","255","August 18, 1969","Arizona State"
"Johnny Austin","1967","1968","G","6-0","170","August 31, 1944","Boston College"
"Ken Austin","1984","1984","F","6-9","205","July 15, 1961","Rice University"
"Deni Avdija","2021","2023","G-F","6-9","210","January 3, 2001",""
"Anthony Avent","1993","2000","F","6-9","235","October 18, 1969","Seton Hall"
"Bird Averitt","1974","1978","G","6-1","170","July 22, 1952","Pepperdine"
"William Avery","2000","2002","G","6-2","197","August 8, 1979","Duke"
"Dennis Awtrey","1971","1982","C","6-10","235","February 22, 1948","Santa Clara"
"Joel Ayayi","2022","2022","G","6-5","180","March 5, 2000","Gonzaga"
"Gustavo Ayón","2012","2014","C","6-10","250","April 1, 1985",""
"Jeff Ayres","2010","2016","F","6-9","240","April 29, 1987","Arizona State"
"Deandre Ayton","2019","2023","C","6-11","250","July 23, 1998","Arizona"
"Kelenna Azubuike","2007","2012","G","6-5","220","December 16, 1983","Kentucky"
"Udoka Azubuike","2021","2023","C","6-10","280","September 17, 1999","Kansas"
"Chris Babb","2014","2014","G","6-5","225","February 14, 1990","Penn State, Iowa State"
"Luke Babbitt","2011","2018","F","6-9","225","June 20, 1989","Nevada"
"Miloš Babić","1991","1992","C-F","7-0","240","November 23, 1968","Tennessee Technological University"
"Johnny Bach","1949","1949","F-G","6-2","180","July 10, 1924","Fordham"
"Dwayne Bacon","2018","2021","G","6-6","221","August 30, 1995","Florida State"
"Henry Bacon","1973","1973","G","6-3","205","July 5, 1948","Louisville"
"Jim Baechtold","1953","1957","F-G","6-4","205","December 9, 1927","Eastern Kentucky University"
"Dalibor Bagarić","2001","2003","C","7-1","255","February 7, 1980",""
"John Bagley","1983","1994","G","6-0","185","April 23, 1960","Boston College"
"Marvin Bagley III","2019","2023","F-C","6-11","235","March 14, 1999","Duke"
"Carl Bailey","1982","1982","C","7-0","210","April 23, 1958","Tuskegee University"
"Gus Bailey","1975","1980","G-F","6-5","185","February 18, 1951","Texas-El Paso"
"James Bailey","1980","1988","F-C","6-9","220","May 21, 1957","Rutgers University"
"Thurl Bailey","1984","1999","F-C","6-11","215","April 7, 1961","NC State"
"Toby Bailey","1999","2000","G","6-6","213","November 19, 1975","UCLA"
"Cameron Bairstow","2015","2016","F-C","6-9","250","December 7, 1990","New Mexico"
"Jimmie Baker","1976","1976","F","6-9","220","December 25, 1953","UNLV, Hawaii"
"Mark Baker","1999","1999","G","6-1","175","November 11, 1969","Ohio State"
"Maurice Baker","2005","2005","G","6-1","175","July 28, 1979","Oklahoma State"
"Norm Baker","1947","1947","G","6-0","180","February 17, 1923",""
"Ron Baker","2017","2019","G","6-4","220","March 30, 1993","Wichita State"
"Vin Baker","1994","2006","F","6-11","232","November 23, 1971","University of Hartford"
"Patrick Baldwin Jr.","2023","2023","G-F","6-9","220","November 18, 2002","UW-Milwaukee"
"Wade Baldwin","2017","2019","G","6-4","200","March 29, 1996","Vanderbilt"
"Renaldo Balkman","2007","2012","F","6-8","208","July 14, 1984","South Carolina"
"Cedric Ball","1991","1991","F","6-8","210","April 16, 1968","UNC Charlotte"
"LaMelo Ball","2021","2023","G","6-7","180","August 22, 2001",""
"Lonzo Ball","2018","2022","G","6-6","190","October 27, 1997","UCLA"
"Greg Ballard","1978","1989","F","6-7","215","January 29, 1955","Oregon"
"Herschel Baltimore","1947","1947","F","6-4","195","June 21, 1921","Penn State"
"Mo Bamba","2019","2023","C","7-0","231","May 12, 1998","Texas"
"Paolo Banchero","2023","2023","F","6-10","250","November 12, 2002","Duke"
"Desmond Bane","2021","2023","G","6-5","215","June 25, 1998","TCU"
"Gene Banks","1982","1987","F-G","6-7","215","May 15, 1959","Duke"
"Marcus Banks","2004","2011","G","6-2","200","November 19, 1981","UNLV"
"Walker Banks","1971","1971","C","6-10","205","August 26, 1947","Western Kentucky"
"Ken Bannister","1985","1991","F-C","6-9","235","April 1, 1960","Indiana State University, Saint Augustine's College"
"Mike Bantom","1974","1982","F-C","6-9","200","December 3, 1951","Saint Joseph's"
"Dalano Banton","2022","2023","G-F","6-9","204","November 7, 1999","Nebraska"
"Cat Barber","2022","2022","G","6-2","190","July 25, 1994","NC State"
"John Barber","1957","1957","F","6-6","210","June 27, 1927","California State University, Los Angeles"
"Leandro Barbosa","2004","2017","G","6-3","194","November 28, 1982",""
"Steve Bardo","1992","1996","G","6-5","190","April 5, 1968","Illinois"
"J.J. Barea","2007","2020","G","5-10","180","June 26, 1984","Northeastern University"
"Andrea Bargnani","2007","2016","F-C","7-0","245","October 26, 1985",""
"Cliff Barker","1950","1952","G","6-2","185","January 15, 1921","Kentucky"
"Tom Barker","1977","1979","C-F","6-11","225","March 11, 1955","Hawaii"
"Charles Barkley*","1985","2000","F","6-6","252","February 20, 1963","Auburn"
"Erick Barkley","2001","2002","G","6-1","177","February 21, 1978","St. John's"
"Don Barksdale*","1952","1955","F-C","6-6","200","March 31, 1923","UCLA"
"Dominick Barlow","2023","2023","F","6-9","221","May 26, 2003",""
"Harrison Barnes","2013","2023","F","6-8","225","May 30, 1992","UNC"
"Harry Barnes","1969","1969","F","6-3","205","July 25, 1945","Northeastern University"
"Jim Barnes","1965","1971","C-F","6-8","210","April 13, 1941","Texas-El Paso"
"Marvin Barnes","1975","1980","F-C","6-8","210","July 27, 1952","Providence"
"Matt Barnes","2004","2017","F","6-7","226","March 9, 1980","UCLA"
"Scottie Barnes","2022","2023","G-F","6-9","227","August 1, 2001","Florida State"
"Dick Barnett","1960","1974","G-F","6-4","190","October 2, 1936","Tennessee State"
"Jim Barnett","1967","1977","G-F","6-4","170","July 7, 1944","Oregon"
"Nate Barnett","1976","1976","G","6-3","175","January 29, 1953","University of Akron"
"John Barnhill","1963","1972","G","6-1","180","March 20, 1938","Tennessee State"
"Norton Barnhill","1977","1977","G","6-4","205","July 15, 1953","Washington State"
"Leo Barnhorst","1950","1954","F-G","6-4","190","May 11, 1924","Notre Dame"
"John Barr","1947","1947","F","6-3","205","August 18, 1918","Penn State"
"Mike Barr","1973","1977","G","6-3","180","October 19, 1950","Duquesne"
"Moe Barr","1971","1971","G","6-4","195","June 19, 1944","Duquesne"
"Andre Barrett","2005","2008","G","5-10","172","February 21, 1982","Seton Hall"
"Ernie Barrett","1954","1956","G-F","6-3","180","August 27, 1929","Kansas State"
"Mike Barrett","1970","1973","G","6-2","155","September 5, 1943","West Virginia Tech"
"RJ Barrett","2020","2023","G-F","6-6","214","June 14, 2000","Duke"
"Earl Barron","2006","2015","C","7-0","250","August 14, 1981","Memphis"
"Dana Barros","1990","2004","G","5-11","163","April 13, 1967","Boston College"
"Brent Barry","1996","2009","G","6-6","185","December 31, 1971","Oregon State"
"Drew Barry","1998","2000","G","6-5","191","February 17, 1973","Georgia Tech"
"Jon Barry","1993","2006","G","6-4","195","July 25, 1969","University of the Pacific, Georgia Tech"
"Rick Barry*","1966","1980","F","6-7","205","March 28, 1944","Miami (FL)"
"Ed Bartels","1950","1951","F","6-5","195","October 8, 1925","NC State"
"Vic Bartolome","1972","1972","C","7-0","230","September 29, 1948","Oregon State"
"Will Barton","2013","2023","G","6-6","181","January 6, 1991","Memphis"
"Eddie Basden","2006","2006","G","6-5","215","February 15, 1983","UNC Charlotte"
"Jerry Baskerville","1976","1976","F","6-7","190","November 10, 1951","Temple"
"Brandon Bass","2006","2017","F","6-8","250","April 30, 1985","LSU"
"Paris Bass","2022","2022","F","6-8","200","August 29, 1995","Detroit Mercy"
"Tim Bassett","1974","1980","F-C","6-8","225","April 1, 1951","College of Southern Idaho, Georgia"
"Charles Bassey","2022","2023","C","6-11","235","October 28, 2000","Western Kentucky"
"Maceo Baston","2003","2009","F","6-9","215","May 29, 1975","Michigan"
"Mengke Bateer","2002","2004","C","6-11","290","November 20, 1975",""
"Billy Ray Bates","1980","1983","G","6-4","210","May 31, 1956","Kentucky State University"
"Keita Bates-Diop","2019","2023","F","6-8","229","January 23, 1996","Ohio State"
"Esteban Batista","2006","2007","F-C","6-10","270","September 2, 1983",""
"Mike Batiste","2003","2003","F","6-8","225","November 21, 1977","Arizona State"
"Tony Battie","1998","2012","C-F","6-11","230","February 11, 1976","Texas Tech"
"Shane Battier","2002","2014","F","6-8","220","September 9, 1978","Duke"
"John Battle","1986","1995","G","6-2","175","November 9, 1962","Rutgers University"
"Kenny Battle","1990","1993","F","6-6","210","October 10, 1964","Northern Illinois, Illinois"
"Dave Batton","1983","1984","C","6-10","240","March 26, 1956","Notre Dame"
"Lloyd Batts","1975","1975","G-F","6-4","185","May 9, 1951","Cincinnati"
"Nicolas Batum","2009","2023","F-G","6-8","230","December 14, 1988",""
"Johnny Baum","1970","1974","F","6-5","200","June 17, 1946","Peirce College, Temple"
"Frankie Baumholtz","1947","1947","G","5-10","170","October 7, 1918","Ohio University"
"Lonny Baxter","2003","2006","F","6-8","260","January 27, 1979","Maryland"
"Jerryd Bayless","2009","2019","G","6-3","200","August 20, 1988","Arizona"
"Elgin Baylor*","1959","1972","F","6-5","225","September 16, 1934","College of Idaho, Seattle University"
"Howard Bayne","1968","1968","F","6-6","235","July 28, 1942","Tennessee"
"Aron Baynes","2013","2021","C","6-10","260","December 9, 1986","Washington State"
"Sergei Bazarevich","1995","1995","G","6-2","168","March 16, 1965",""
"Kent Bazemore","2013","2022","G-F","6-4","195","July 1, 1989","Old Dominion"
"Darius Bazley","2020","2023","F","6-8","208","June 12, 2000",""
"Ed Beach","1951","1951","F","6-3","200","January 25, 1929","West Virginia"
"Bradley Beal","2013","2023","G","6-4","207","June 28, 1993","Florida"
"Al Beard","1968","1968","C","6-9","200","April 27, 1942","Norfolk State"
"Butch Beard","1970","1979","G","6-3","185","May 4, 1947","Louisville"
"Ralph Beard","1950","1951","G","5-10","175","December 2, 1927","Kentucky"
"Charlie Beasley","1968","1971","G-F","6-5","190","September 23, 1945","SMU"
"Jerome Beasley","2004","2004","F","6-10","237","May 17, 1980","Midland College, University of North Dakota"
"John Beasley","1968","1974","F-C","6-9","225","February 5, 1944","Texas A&M"
"Malik Beasley","2017","2023","G","6-4","187","November 26, 1996","Florida State"
"Michael Beasley","2009","2019","F","6-9","235","January 9, 1989","Kansas State"
"Zelmo Beaty*","1963","1975","C","6-9","225","October 25, 1939","Prairie View A&M University"
"Rodrigue Beaubois","2010","2013","G","6-0","170","February 24, 1988",""
"MarJon Beauchamp","2023","2023","G","6-6","199","October 12, 2000","Yakima Valley Community College"
"Byron Beck","1968","1977","C-F","6-9","225","January 25, 1945","Columbia Basin College, Denver"
"Corey Beck","1996","1999","G","6-1","190","May 27, 1971","South Plains College, Arkansas"
"Ernie Beck","1954","1961","G-F","6-4","190","December 11, 1931","Penn"
"Art Becker","1968","1973","F","6-7","205","January 12, 1942","Arizona State"
"Moe Becker","1947","1947","G-F","6-1","185","February 24, 1917","Duquesne"
"Bob Bedell","1968","1971","F","6-7","205","June 26, 1944","Stanford"
"William Bedford","1987","1993","C","7-0","225","December 14, 1963","Memphis"
"Hank Beenders","1947","1949","C-F","6-6","185","June 2, 1916","Long Island University"
"Ron Behagen","1974","1980","F-C","6-9","185","January 14, 1951","Minnesota"
"Elmer Behnke","1952","1952","C","6-7","210","February 3, 1929","Bradley"
"Marco Belinelli","2008","2020","G-F","6-5","220","March 25, 1986",""
"Charlie Bell","2002","2011","G","6-3","200","March 12, 1979","Michigan State"
"Dennis Bell","1974","1976","F","6-5","185","June 2, 1951","Drake University"
"Jordan Bell","2018","2022","F","6-8","216","January 7, 1995","Oregon"
"Raja Bell","2001","2012","G","6-5","204","September 19, 1976","Boston University, Florida International University"
"Troy Bell","2004","2004","G","6-1","180","November 10, 1980","Boston College"
"Whitey Bell","1960","1961","G","6-0","180","September 13, 1932","NC State"
"Walt Bellamy*","1962","1975","C","6-11","225","July 24, 1939","Indiana"
"DeAndre' Bembry","2017","2022","F","6-5","210","July 4, 1994","Saint Joseph's"
"Irv Bemoras","1954","1957","F-G","6-3","185","November 18, 1930","Illinois"
"Leon Benbow","1975","1976","G","6-4","185","July 23, 1950","Jacksonville University"
"Dragan Bender","2017","2020","F","7-0","225","November 17, 1997",""
"Jonathan Bender","2000","2010","F","6-11","202","January 30, 1981",""
"Jerrelle Benimon","2015","2015","F","6-8","245","August 1, 1991","Georgetown, Towson University"
"Benoit Benjamin","1986","2000","C","7-0","250","November 22, 1964","Creighton"
"Corey Benjamin","1999","2003","G","6-6","200","February 24, 1978","Oregon State"
"Anthony Bennett","2014","2017","F","6-8","245","March 14, 1993","UNLV"
"Elmer Bennett","1995","1997","G","6-0","170","February 13, 1970","Notre Dame"
"Mario Bennett","1996","2000","F","6-6","235","August 1, 1973","Arizona State"
"Mel Bennett","1976","1982","F","6-7","200","January 4, 1955","Pitt"
"Spider Bennett","1969","1969","G","6-3","190","August 4, 1943","Winston-Salem State"
"Tony Bennett","1993","1995","G","6-0","175","June 1, 1969","Green Bay"
"Winston Bennett","1990","1992","F","6-7","210","February 9, 1965","Kentucky"
"David Benoit","1992","2001","F","6-8","220","May 9, 1968","Alabama"
"Keith Benson","2012","2012","C","6-11","240","August 13, 1988","Oakland"
"Kent Benson","1978","1988","C","6-10","235","December 27, 1954","Indiana"
"Ben Bentil","2017","2017","F","6-9","235","March 29, 1995","Providence"
"Gene Berce","1950","1950","G-F","5-11","175","November 22, 1926","Marquette"
"Gary Bergen","1957","1957","C","6-8","210","July 16, 1932","Utah"
"Larry Bergh","1970","1970","F","6-8","210","April 2, 1945","Weber State"
"Ricky Berry","1989","1989","F","6-8","205","October 6, 1964","Oregon State, San Jose State"
"Walter Berry","1987","1989","F","6-8","215","May 14, 1964","St. John's"
"Dairis Bertāns","2019","2019","G","6-4","200","September 9, 1989",""
"Dāvis Bertāns","2017","2023","F","6-10","225","November 12, 1992",""
"Del Beshore","1979","1980","G","5-11","165","November 29, 1956","California University of Pennslyvania"
"Travis Best","1996","2005","G","5-11","182","July 12, 1972","Georgia Tech"
"Patrick Beverley","2013","2023","G","6-1","180","July 12, 1988","Arkansas"
"Saddiq Bey","2021","2023","F","6-7","215","April 9, 1999","Villanova"
"Tyler Bey","2021","2021","F","6-7","215","February 10, 1998","Colorado"
"Sim Bhullar","2015","2015","C","7-5","360","December 2, 1992","New Mexico State"
"Wes Bialosuknia","1968","1968","G","6-2","185","June 8, 1945","UConn"
"Al Bianchi","1957","1966","G","6-3","185","March 26, 1932","Bowling Green"
"Hank Biasatti","1947","1947","G","5-11","175","January 14, 1922","Long Island University"
"Henry Bibby","1973","1981","G","6-1","185","November 24, 1949","UCLA"
"Mike Bibby","1999","2012","G","6-1","190","May 13, 1978","Arizona"
"Ed Biedenbach","1969","1969","G","6-1","175","August 12, 1945","NC State"
"Andris Biedriņš","2005","2014","C","6-11","240","April 2, 1986",""
"Don Bielke","1956","1956","C","6-7","240","May 10, 1932","Valparaiso"
"Bob Bigelow","1976","1979","F-G","6-7","215","December 26, 1953","Penn"
"Lionel Billingy","1975","1975","F-C","6-9","215","August 31, 1952","Duquesne"
"Chauncey Billups","1998","2014","G","6-3","202","September 25, 1976","Colorado"
